"","Fit","Com","BF","rsq","setting","BFlog"
"33243",6.17026242493048e-195,17.3120279827046,3.56414767299061e-196,"0.26","N = 3200, 2 predictors",-450.035753283461
"33253",7.23778854173136e-170,16.4538453810626,4.39884317258847e-171,"0.26","N = 3200, 2 predictors",-392.260709310947
"33263",2.18203349082033e-210,16.853640707265,1.29469562613835e-211,"0.26","N = 3200, 2 predictors",-485.587178991949
"33273",8.47993079459342e-126,14.693235081184,5.77131635595537e-127,"0.26","N = 3200, 2 predictors",-290.675406617796
"33283",9.84884541072703e-178,15.6723535243609,6.28421595736601e-179,"0.26","N = 3200, 2 predictors",-410.324690559905
"33293",3.26739177961775e-143,15.3317672792258,2.13112534263744e-144,"0.26","N = 3200, 2 predictors",-330.815603221062
"33303",1.57698195657417e-181,17.0591076440839,9.24422302429793e-183,"0.26","N = 3200, 2 predictors",-419.149073199405
"33315",3.07940373679079e-165,16.0523779111261,1.91834739615519e-166,"0.26","N = 3200, 2 predictors",-381.577661352783
"33323",3.44995644849156e-160,17.9908075650641,1.91762178324387e-161,"0.26","N = 3200, 2 predictors",-370.065114208329
"33333",7.55353705666779e-217,18.9147810294019,3.99345730988177e-218,"0.26","N = 3200, 2 predictors",-500.578892923284
"33343",4.41643352581156e-166,17.5166126855426,2.5212828559352e-167,"0.26","N = 3200, 2 predictors",-383.606942688199
"33353",1.19196699676342e-163,13.5195011507876,8.81664924962101e-165,"0.26","N = 3200, 2 predictors",-377.749898449852
"33363",6.20287778373654e-212,17.9403397827876,3.45750295637529e-213,"0.26","N = 3200, 2 predictors",-489.210078168114
"33373",2.88958637846256e-205,17.149996957769,1.6848903154782e-206,"0.26","N = 3200, 2 predictors",-473.81082868976
"33383",6.48806155666002e-160,17.7214522472923,3.66113423782824e-161,"0.26","N = 3200, 2 predictors",-369.418426971592
"33393",8.79787668975251e-167,18.0490108701278,4.87443702763431e-168,"0.26","N = 3200, 2 predictors",-385.250291006729
"33403",1.79943728529304e-166,14.6727811324481,1.22637778690345e-167,"0.26","N = 3200, 2 predictors",-384.327645594034
"33415",4.05592389864436e-152,18.3323813746429,2.21243700736799e-153,"0.26","N = 3200, 2 predictors",-351.50142460184
"33423",9.9314118998104e-213,19.2626057949299,5.1557987561706e-214,"0.26","N = 3200, 2 predictors",-491.113087847409
"33433",1.92398097802564e-153,16.813612617454,1.14429957546921e-154,"0.26","N = 3200, 2 predictors",-354.463311595738
"33443",1.15236416347345e-178,17.0018942117535,6.77785750882285e-180,"0.26","N = 3200, 2 predictors",-412.551655688564
"33453",1.34892922636756e-137,15.0121658415598,8.98557370471609e-139,"0.26","N = 3200, 2 predictors",-317.863707556588
"33463",1.06553993136838e-174,15.8502048682016,6.72256251719527e-176,"0.26","N = 3200, 2 predictors",-403.34950695814
"33473",5.34664868726587e-165,16.2420432618049,3.2918571888299e-166,"0.26","N = 3200, 2 predictors",-381.037673536417
"33483",9.14044925062496e-134,16.8513270171402,5.42417178263042e-135,"0.26","N = 3200, 2 predictors",-309.158122333221
"33493",2.2285891949204e-145,13.3229186263585,1.67274848508892e-146,"0.26","N = 3200, 2 predictors",-335.662955504091
